room_area,money,link,room_location_district,room_location_place,room_location_street
主卧(3室)????31㎡,3080,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkf2ayqH_E_R9RLX94M3jVfojvHRaUlKsn4X_0-kINhrd8f-5NvxKrSqvahcG6EDOsdDQjJVhP3JRqECF3p7KaAnvTezG6m76l_q7pcP3cAi1WbQFBJxIZMOiVJI6ueRb3x3RaKjcjYRkAGb0C4wfi41EmWfSoIZja-gKQ0eYVkaR_GGRNvaJU8E8Uh2OSCnX2Yl5A6UFjXZ2AKR9Uszn6PenEl09QT2CN0g_Y1lrjSJRQ&local=4&pubid=15404134&apptype=0&psid=117087464197040075428830033&entinfo=30181623123625_0&cookie=|||&fzbref=0&key=?ms=busitime^desc,八卦岭,城市主场,
2室1厅1卫????90㎡,9000,http://sz.58.com/zufang/31120063785418x.shtml,白石洲,世纪假日广场,距离1号线世界之窗站地铁站318米                                    
1室0厅1卫????30㎡,800,http://short.58.com/zd_p/1819a39f-e8fb-4a52-8a94-8ee33fa4ab67/?target=fh-16-xgk_hvimob_87734810524941q-feykn&end=end,坂田,,
1室0厅1卫????30㎡,850,http://short.58.com/zd_p/f3130557-4173-4d6c-a020-28984fb13949/?target=fh-16-xgk_hvimob_87424916345389q-feykn&end=end,坂田,,
1室1厅1卫????45㎡,2000,http://short.58.com/zd_p/fc7d142c-12b1-43c4-a171-bcf80ae42b3b/?target=fh-16-xgk_hvimob_87487060962648q-feykn&end=end,坂田,,
1室1厅1卫????45㎡,2000,http://short.58.com/zd_p/0c0b7934-f84b-4495-ab02-10570c7a6284/?target=fh-16-xgk_hvimob_84599464996080q-feykn&end=end,坂田,,
2室2厅1卫????73㎡,4200,http://sz.58.com/zufang/31132935530818x.shtml,坂田,万科四季花城(三期),距离5号线五和站地铁站641米                                    
2室2厅1卫????75㎡,4000,http://sz.58.com/zufang/30537939596357x.shtml,坂田,佳兆业上品雅园,距离5号线杨美站地铁站732米                                    
9室2厅5卫????30.0㎡,2700,http://sz.58.com/zufang/30642462314156x.shtml,坂田,万科城(别墅),距离5号线坂田站地铁站2064米                                    
主卧(2室)????50㎡,1400,http://short.58.com/zd_p/7ebbc3b1-500b-4152-9bc1-76f19cb8c898/?target=fh-16-xgk_ephv_32894820759902q-feykn&end=end,坂田,,
2室2厅1卫????71㎡,5000,http://sz.58.com/zufang/30812734826419x.shtml,宝安中心区,海滨广场(宝安),距离5号线翻身站地铁站380米                                    
2室1厅1卫????60㎡,2300,http://short.58.com/zd_p/275323db-19f6-4330-9c31-41be1b319ce3/?target=fh-16-xgk_hvimob_87437108687084q-feykn&end=end,布吉街,布吉新三村,距离5号线长龙站地铁站534米                                    
